Symbol,Security,GICS Sector,GICS Sub-Industry,market_cap,perf_1y,perf_3y,perf_5y,perf_10y,perf_life,company_name,class_count,company_weight,weight
MMM,3M,Industrials,Industrial Conglomerates,0,-0.04936847715406467,0.7942616754855885,0.06764108309171935,0.420836839228355,253.44104837826168,3M,1,0.0,0.0
AOS,A. O. Smith,Industrials,Building Products,8863000576,-0.019629458764622187,0.018600941287512773,0.039417390027195465,0.9990136294047427,149.24419263978592,A. O. Smith,1,0.00015252154752567063,0.00015252154752567063
ABT,Abbott Laboratories,Health Care,Health Care Equipment,183256039424,-0.1525570482064249,0.1428955425524967,-0.04875651272892656,2.1197645267061724,585.081138438043,Abbott Laboratories,1,0.003153615357090301,0.003153615357090301
ABBV,AbbVie,Health Care,Biotechnology,362598432768,-5.0371480367239485e-05,0.46397200914147274,1.3447702400588448,4.53565070308945,8.891637932216229,AbbVie,1,0.006239881586594427,0.006239881586594427
ACN,Accenture,Information Technology,IT Consulting & Other Services,124021579776,-0.32874652287641815,-0.17431118392023726,-0.19257628607805222,1.1655930716460787,17.860980702152332,Accenture,1,0.0021342617674240277,0.0021342617674240277
ADBE,Adobe Inc.,Information Technology,Application Software,101865570304,-0.3630810214667174,-0.31616514947793484,-0.45149313258373547,1.68270263671875,1251.9212855029673,Adobe Inc.,1,0.0017529835735792102,0.0017529835735792102
AMD,Advanced Micro Devices,Information Technology,Semiconductors,328250621952,0.8791301379315355,1.0796406043621758,1.5072228415892628,70.90357330703009,62.998947446603076,Advanced Micro Devices,1,0.005648797199895715,0.005648797199895715
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10047080448,0.13272713022584703,-0.2856612492592048,-0.3436340199412007,0.7754374942434572,5.97961008392571,AES Corporation,1,0.00017289813364036366,0.00017289813364036366
AFL,Aflac,Financials,Life & Health Insurance,54848761856,-0.0016282335379966817,0.7894794816699233,1.3562997419869123,3.237758507477656,1868.1503918250703,Aflac,1,0.0009438810216031396,0.0009438810216031396
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,31480053760,-0.06721007053832229,-0.15418962813438242,-0.06833091320445184,2.040237261778009,3.231936333182099,Agilent Technologies,1,0.0005417337474475762,0.0005417337474475762
APD,Air Products,Materials,Industrial Gases,62568562688,-0.015082239632257188,0.0873725414619606,0.14084041825902482,1.7576374092786482,185.7410300594014,Air Products,1,0.0010767294806989184,0.0010767294806989184
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",77049536512,0.018787179690171074,0.08547299506892392,-0.3409230550130208,-0.11187894195470871,-0.11187894195470871,Airbnb,1,0.0013259295702595588,0.0013259295702595588
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,15965945856,0.35125684330000717,0.46652915344586887,0.0998602356484537,0.9576300924242378,-0.24101592978166697,Akamai Technologies,1,0.0002747546667504795,0.0002747546667504795
ALB,Albemarle Corporation,Materials,Specialty Chemicals,18466658304,1.0699827943048663,-0.23101856452130176,0.09262841440693981,1.9092637944218547,35.95725334978258,Albemarle Corporation,1,0.0003177889111031754,0.0003177889111031754
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,8212704256,-0.4798376112415669,-0.5474942561693819,-0.6503345393593201,-0.23477292234108782,5.502707890426031,Alexandria Real Estate Equities,1,0.00014133073238060246,0.00014133073238060246
ALGN,Align Technology,Health Care,Health Care Supplies,12425664512,0.02588706344640923,-0.45258565970873055,-0.6736147745115519,1.5171509446809037,9.262518084490742,Align Technology,1,0.00021383069584097553,0.00021383069584097553
ALLE,Allegion,Industrials,Building Products,12274871296,0.12400045450026287,0.398709886729397,0.2635558701364318,1.4784616178804835,2.344540030274915,Allegion,1,0.0002112357265116299,0.0002112357265116299
LNT,Alliant Energy,Utilities,Electric Utilities,17668147200,0.11600082182464888,0.41600570492963684,0.5687953854968129,1.6162824122727066,93.67195044442158,Alliant Energy,1,0.00030404749833284276,0.00030404749833284276
ALL,Allstate,Financials,Property & Casualty Insurance,53365760000,-0.0024402456650179927,1.0161866329885272,1.066951498889372,2.833513492139071,28.945365950134804,Allstate,1,0.0009183603487654262,0.0009183603487654262
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,3641197199360,0.8553053860969961,1.9982984193919697,1.9890113353513286,6.963885769883512,119.86279545788092,Alphabet Inc.,2,0.062430579098318985,0.031215289549159492
